Index,ID,Hand,XPos,YPos,ZPos,Time
0,NULL,Right,-0.5193579,1.162951,-0.1912758,49.12696
0,NULL,Left,-0.5099778,1.133244,-0.4157197,49.57391
0,NULL,Right,-0.5481053,1.093963,-0.2197956,49.57391
0,NULL,Left,-0.4968036,1.160753,-0.4182024,50.02827
0,NULL,Right,-0.5447845,1.134188,-0.2174048,50.02827
0,NULL,Left,-0.369456,1.170575,-0.5613561,50.47275
0,NULL,Right,-0.4811053,1.129416,-0.4090006,50.47275
0,NULL,Left,-0.05992586,1.171116,-0.6072509,50.92797
0,NULL,Right,-0.3416786,1.135438,-0.5273435,50.92797
0,NULL,Left,0.06630164,1.162075,-0.5444002,51.37278
0,NULL,Right,-0.280515,1.124589,-0.5413249,51.37278
0,NULL,Left,0.2627555,1.090294,-0.2744252,51.81749
0,NULL,Right,-0.2148294,1.128774,-0.5173567,51.81749
0,NULL,Left,0.2803792,1.083328,-0.2300758,52.26212
0,NULL,Right,-0.2376938,1.132548,-0.4941117,52.26212
0,NULL,Left,0.2398363,1.077387,-0.3869208,52.71719
0,NULL,Right,-0.2830391,1.135954,-0.50968,52.71719
0,NULL,Left,-0.324583,1.078592,-0.6549265,53.17342
0,NULL,Right,-0.449926,1.136276,-0.3693837,53.17342
0,NULL,Left,-0.5079812,1.172566,-0.6875108,53.61758
0,NULL,Right,-0.423139,1.105529,-0.2677875,53.61758
0,NULL,Left,-0.6541573,1.193815,-0.8686378,54.07371
0,NULL,Right,-0.4045513,1.121222,-0.2765032,54.07371
0,NULL,Left,-0.6562468,1.247756,-0.6767344,54.52859
0,NULL,Right,-0.3777296,1.140319,-0.1944056,54.52859
0,NULL,Left,-0.620678,1.289479,-0.5327458,55.00537
0,NULL,Right,-0.4018785,1.126509,-0.1825317,55.00537
0,NULL,Left,-0.7403915,1.190911,-0.5413188,55.45037
0,NULL,Right,-0.4188597,1.113891,-0.1878588,55.45037
0,NULL,Left,-0.7278425,1.047725,-0.5414947,55.8951
0,NULL,Right,-0.4357661,1.118586,-0.2162394,55.8951
0,NULL,Left,-0.6761327,1.085709,-0.5036841,56.33936
0,NULL,Right,-0.469483,1.107116,-0.2664948,56.33936
0,NULL,Left,-0.6102517,1.137632,-0.6046522,56.78416
0,NULL,Right,-0.5242382,1.043138,-0.2867388,56.78416
0,NULL,Left,-0.5872611,1.145216,-0.6138865,57.22781
0,NULL,Right,-0.522483,1.027543,-0.2956939,57.22781
0,NULL,Left,-0.5756721,1.142305,-0.6033875,57.67197
0,NULL,Right,-0.5033259,1.018196,-0.2853634,57.67197
0,NULL,Left,-0.5386454,1.224508,-0.5002396,58.11723
0,NULL,Right,-0.4655203,1.010653,-0.2334072,58.11723
0,NULL,Left,-0.5288476,1.245072,-0.4401742,58.56123
0,NULL,Right,-0.4300379,0.9989036,-0.2011461,58.56123
0,NULL,Left,-0.5392171,1.119715,-0.5410868,59.00644
0,NULL,Right,-0.4240414,1.020981,-0.2373619,59.00644
0,NULL,Left,-0.3403131,0.9774271,-0.6639785,59.46308
0,NULL,Right,-0.3396083,1.263593,-0.4352573,59.46308
0,NULL,Left,-0.2683999,0.985853,-0.6729787,59.92825
0,NULL,Right,-0.2852446,1.306071,-0.4235232,59.92825
0,NULL,Left,-0.2774998,0.9881693,-0.6767183,60.39462
0,NULL,Right,-0.3412832,1.27212,-0.420706,60.39462
0,NULL,Left,-0.4110791,0.9696951,-0.6523867,60.84922
0,NULL,Right,-0.4438298,1.151573,-0.2542455,60.84922
0,NULL,Left,-0.5845903,0.9891463,-0.4995474,61.30508
0,NULL,Right,-0.3145203,1.141349,-0.06770068,61.30508
0,NULL,Left,-0.5767117,0.9660292,-0.5241408,61.81544
0,NULL,Right,-0.2502765,1.096707,-0.06114736,61.81544
0,NULL,Left,-0.5804378,0.9750211,-0.5102884,62.27009
0,NULL,Right,-0.2756326,1.181096,-0.09401579,62.27009
0,NULL,Left,-0.5714368,0.9792373,-0.5090135,62.74778
0,NULL,Right,-0.3901541,1.134541,-0.07327618,62.74778
0,NULL,Left,-0.5647563,1.146943,-0.3733229,63.22532
0,NULL,Right,-0.5257988,1.186039,-0.2002201,63.22532
0,NULL,Left,-0.5358565,1.213444,-0.3055913,63.67021
0,NULL,Right,-0.4643314,1.136406,-0.1379894,63.67021
0,NULL,Left,-0.511649,1.200822,-0.2721587,64.17036
0,NULL,Right,-0.3993593,1.086117,-0.07291252,64.17036
0,NULL,Left,-0.5037388,1.164811,-0.2875043,64.61802
0,NULL,Right,-0.3955237,1.097475,-0.05358534,64.61802
0,NULL,Left,-0.4855464,1.133078,-0.3017523,65.07117
0,NULL,Right,-0.4007954,1.070634,-0.09947903,65.07117
0,NULL,Left,-0.6451244,1.265539,-0.1218333,65.5272
0,NULL,Right,-0.4087377,1.057983,-0.129143,65.5272
0,NULL,Left,-0.6294102,1.325517,-0.09587242,65.97354
0,NULL,Right,-0.4888048,1.307077,-0.02646265,65.97354
0,NULL,Left,-0.6318746,1.313275,-0.1051784,66.42588
0,NULL,Right,-0.4809501,1.306696,-0.009608015,66.42588
0,NULL,Left,-0.6382916,1.287879,-0.1244422,66.88326
0,NULL,Right,-0.4971714,1.280931,-0.01940364,66.88326
0,NULL,Left,-0.6400508,1.275616,-0.1237246,67.32998
0,NULL,Right,-0.4985161,1.274619,-0.02080021,67.32998
0,NULL,Left,-0.5575838,1.112416,-0.2707004,67.79285
0,NULL,Right,-0.4553904,1.114641,-0.09739688,67.79285
0,NULL,Left,-0.4027026,1.018865,-0.5778435,68.23916
0,NULL,Right,-0.4240758,1.134215,-0.4364419,68.23916
0,NULL,Left,-0.2295754,1.024218,-0.6723373,69.09478
0,NULL,Right,-0.2974288,1.24903,-0.4956785,69.09478
0,NULL,Left,-0.2942567,1.023836,-0.650938,69.54955
0,NULL,Right,-0.3296924,1.232647,-0.4650326,69.54955
0,NULL,Left,-0.3610495,1.016745,-0.6021953,69.99448
0,NULL,Right,-0.3547122,1.196868,-0.4400186,69.99448
0,NULL,Left,-0.4472864,1.047156,-0.5047151,70.43952
0,NULL,Right,-0.3966103,1.21617,-0.3766664,70.43952
0,NULL,Left,-0.5266395,1.071705,-0.3862166,70.89377
0,NULL,Right,-0.446526,1.232985,-0.3208643,70.89377
0,NULL,Left,-0.5251027,1.015913,-0.4325061,71.34073
0,NULL,Right,-0.4597352,1.194394,-0.2983527,71.34073
0,NULL,Left,-0.4746399,0.9394386,-0.4904948,71.79634
0,NULL,Right,-0.4409151,1.249531,-0.365797,71.79634
0,NULL,Left,-0.3938594,0.897162,-0.5146422,72.32932
0,NULL,Right,-0.422477,1.271227,-0.4097824,72.32932
0,NULL,Left,-0.4110689,0.9057856,-0.5070031,72.77258
0,NULL,Right,-0.4384592,1.251702,-0.3806404,72.77258
0,NULL,Left,-0.4146679,0.9002451,-0.5113657,73.22872
0,NULL,Right,-0.4649784,1.155624,-0.2692646,73.22872
0,NULL,Left,-0.3935188,0.9263322,-0.5427532,73.67378
0,NULL,Right,-0.4095324,1.263909,-0.3364547,73.67378
0,NULL,Left,-0.3414489,0.9153798,-0.5790461,74.11853
0,NULL,Right,-0.448969,1.322299,-0.3866058,74.11853
0,NULL,Left,-0.4025427,0.9289556,-0.5652688,74.56293
0,NULL,Right,-0.631725,1.177648,-0.156811,74.56293
0,NULL,Left,-0.5706414,1.038285,-0.4482355,75.00818
0,NULL,Right,-0.5966823,1.171489,-0.06528576,75.00818
0,NULL,Left,-0.6975057,1.276856,-0.31425,75.4636
0,NULL,Right,-0.5336652,1.308144,-0.09859975,75.4636
0,NULL,Left,-0.7328613,1.404824,-0.166452,75.91945
0,NULL,Right,-0.586975,1.382557,0.0537127,75.91945
0,NULL,Left,-0.6738111,1.399351,-0.05558655,76.39619
0,NULL,Right,-0.5758312,1.385095,0.02365355,76.39619
0,NULL,Left,-0.6663327,1.388401,-0.06832379,76.84108
0,NULL,Right,-0.5799572,1.366385,0.01214199,76.84108
0,NULL,Left,-0.7042802,1.394934,-0.09648236,77.29675
0,NULL,Right,-0.542693,1.36637,0.04096318,77.29675
0,NULL,Left,-0.6501643,1.374519,-0.05784594,77.75429
0,NULL,Right,-0.5474665,1.360119,0.006169149,77.75429
0,NULL,Left,-0.6856666,1.360173,-0.1068611,78.20792
0,NULL,Right,-0.5442063,1.348773,0.01203323,78.20792
0,NULL,Left,-0.681974,1.354329,-0.131232,78.65269
0,NULL,Right,-0.559285,1.340799,-0.03507238,78.65269
0,NULL,Left,-0.6342794,1.344276,-0.1721635,79.4908
0,NULL,Right,-0.5451548,1.331317,-0.09265207,79.4908
0,NULL,Left,-0.623791,1.35163,-0.1591478,79.94484
0,NULL,Right,-0.5355102,1.337691,-0.08107346,79.94484
0,NULL,Left,-0.6205389,1.364005,-0.1957834,80.42425
0,NULL,Right,-0.5072328,1.379014,-0.0914955,80.42425
0,NULL,Left,-0.6595454,1.360543,-0.2018145,80.87749
0,NULL,Right,-0.5932279,1.365696,-0.1025568,80.87749
0,NULL,Left,-0.6417933,1.339789,-0.2192109,81.34664
0,NULL,Right,-0.5884458,1.363767,-0.1167515,81.34664
0,NULL,Left,-0.6579415,1.324457,-0.2496493,81.79963
0,NULL,Right,-0.5652691,1.344006,-0.1205556,81.79963
0,NULL,Left,-0.6419563,1.335564,-0.221805,82.25694
0,NULL,Right,-0.4465442,1.388166,-0.1199848,82.25694
0,NULL,Left,-0.6137629,1.335192,-0.1835133,82.71161
0,NULL,Right,-0.3850255,1.39798,-0.09313823,82.71161
0,NULL,Left,-0.6045896,1.332901,-0.189981,83.15675
0,NULL,Right,-0.3782629,1.416516,-0.07067619,83.15675
0,NULL,Left,-0.5943097,1.317488,-0.1710645,83.61221
0,NULL,Right,-0.3168672,1.40255,-0.03292126,83.61221
0,NULL,Left,-0.5970181,1.293415,-0.1823021,84.05723
0,NULL,Right,-0.3851269,1.386473,-0.02084693,84.05723
0,NULL,Left,-0.6163913,1.287397,-0.2685784,84.5017
0,NULL,Right,-0.4984084,1.378537,-0.04186697,84.5017
0,NULL,Left,-0.5726239,1.320741,-0.1756233,84.95558
0,NULL,Right,-0.4183167,1.390114,-0.05593385,84.95558
0,NULL,Left,-0.5029928,1.382002,-0.1427488,85.41138
0,NULL,Right,-0.407294,1.387301,-0.09538037,85.41138
0,NULL,Left,-0.5117629,1.369906,-0.1690436,85.85698
0,NULL,Right,-0.4216273,1.381901,-0.1123843,85.85698
0,NULL,Left,-0.5219421,1.1672,-0.3190438,86.33767
0,NULL,Right,-0.5244356,1.302621,-0.3068504,86.33767
0,NULL,Left,-0.4976242,1.129369,-0.3854923,86.7945
0,NULL,Right,-0.5877237,1.136444,-0.3515028,86.7945
0,NULL,Left,-0.5108532,1.118346,-0.3303064,87.24503
0,NULL,Right,-0.6008642,1.103878,-0.2369731,87.24503
0,NULL,Left,-0.5643884,1.171391,-0.3386213,87.70183
0,NULL,Right,-0.556163,1.192919,-0.252617,87.70183
0,NULL,Left,-0.5491042,1.205848,-0.3104589,88.14466
0,NULL,Right,-0.5479609,1.155101,-0.1882101,88.14466
0,NULL,Left,-0.5059882,1.263882,-0.2994973,88.60064
0,NULL,Right,-0.5393552,1.072188,-0.239994,88.60064
0,NULL,Left,-0.4955015,1.260952,-0.2921406,89.05772
0,NULL,Right,-0.5294289,1.044115,-0.2439992,89.05772
0,NULL,Left,-0.4924959,1.251969,-0.2968754,89.5004
0,NULL,Right,-0.5017022,1.026474,-0.2300423,89.5004
0,NULL,Left,-0.4909282,1.308573,-0.5109612,89.94585
0,NULL,Right,-0.4858601,1.020239,-0.2231004,89.94585
0,NULL,Left,-0.4905035,1.258738,-0.5304865,90.40177
0,NULL,Right,-0.4904214,1.02838,-0.2248127,90.40177
0,NULL,Left,-0.5397854,1.036172,-0.2095886,90.85727
0,NULL,Right,-0.3494264,0.9845563,-0.0648296,90.85727
0,NULL,Left,-0.4079059,1.002153,-0.02204397,91.31289
0,NULL,Right,-0.04361558,0.9841784,0.004565331,91.31289
0,NULL,Left,-0.3658294,1.019535,0.005878597,91.76759
0,NULL,Right,0.1101101,1.008657,-0.02752779,91.76759
0,NULL,Left,-0.4268556,1.036813,-0.07401669,92.21152
0,NULL,Right,-0.1182145,1.066936,0.006915279,92.21152
0,NULL,Left,-0.5160318,1.175533,-0.09014689,92.65885
0,NULL,Right,-0.3381678,1.347946,0.05808767,92.65885
